datetime,open,high,low,close
2026-08-15 04:35:00,4378.06401,4382.14399,4378.06401,4381.7342
2026-08-15 04:40:00,4380.91656,4383.09699,4378.44662,4381.59619
2026-08-15 04:45:00,4382.08072,4382.08072,4372.54045,4374.52035
2026-08-15 04:50:00,4374.37927,4376.59362,4373.49999,4376.14597
2026-08-15 04:55:00,4375.22042,4375.22042,4373.11409,4373.34788
2026-08-15 05:00:00,4373.41843,4373.59531,4372.91655,4373.07705
2026-08-15 05:05:00,4373.33934,4375.75123,4372.73165,4374.08789
2026-08-15 05:10:00,4374.12545,4377.24635,4374.12545,4377.1796
2026-08-15 05:15:00,4377.03353,4377.03353,4375.21876,4375.73182
2026-08-15 05:20:00,4375.59637,4376.7507,4375.33059,4376.7252
2026-08-15 05:25:00,4376.62761,4377.90036,4375.9846,4376.69261
2026-08-15 05:30:00,4377.08858,4377.70871,4377.08858,4377.20347
2026-08-15 05:35:00,4377.29102,4377.95479,4376.36761,4376.49985
2026-08-15 05:40:00,4376.67181,4377.51707,4376.51229,4376.7217
2026-08-15 05:45:00,4376.71277,4377.12406,4375.5679,4375.67586
2026-08-15 05:50:00,4375.57786,4380.00964,4375.57786,4379.75588
2026-08-15 05:55:00,4379.24691,4382.44657,4374.45319,4375.04209
2026-08-15 06:00:00,4375.30467,4375.9846,4373.87919,4374.01151
2026-08-15 06:05:00,4374.21201,4374.26184,4372.34926,4373.51644
2026-08-15 06:10:00,4373.44838,4373.59933,4371.20252,4371.801
2026-08-15 06:15:00,4372.14006,4373.75215,4372.14006,4373.72968
2026-08-15 06:20:00,4373.68905,4373.94714,4372.94384,4373.10401
2026-08-15 06:25:00,4373.36202,4374.83594,4372.07143,4374.32755
2026-08-15 06:30:00,4374.34988,4374.64456,4374.07051,4374.28424
2026-08-15 06:35:00,4374.23028,4375.9846,4373.8132,4375.92228
2026-08-15 06:40:00,4375.79369,4376.79262,4375.02734,4375.14859
2026-08-15 06:45:00,4375.40662,4376.02698,4375.24183,4375.77928
2026-08-15 06:50:00,4375.69358,4375.95155,4375.41019,4375.92906
2026-08-15 06:55:00,4375.82935,4376.79162,4375.31556,4376.56187
2026-08-15 07:00:00,4376.01866,4376.94227,4375.60165,4375.6097
2026-08-15 07:05:00,4375.64065,4375.79436,4375.53601,4375.67204
2026-08-15 07:10:00,4375.59973,4375.74244,4375.59006,4375.68401
2026-08-15 07:15:00,4375.60003,4375.9846,4375.54051,4375.95072
2026-08-15 07:20:00,4375.87422,4375.87422,4375.59568,4375.74995
2026-08-15 07:25:00,4375.67832,4375.79158,4375.53653,4375.67469
2026-08-15 07:30:00,4375.59782,4375.89559,4375.57431,4375.86628
2026-08-15 07:35:00,4375.80042,4375.80433,4375.5381,4375.58838
2026-08-15 07:40:00,4375.60138,4375.7235,4375.57321,4375.58492
2026-08-15 07:45:00,4375.59808,4375.79558,4375.53437,4375.68065
2026-08-15 07:50:00,4375.59973,4375.76156,4375.59866,4375.67422
2026-08-15 07:55:00,4375.59756,4375.79923,4375.54038,4375.58851
2026-08-15 08:00:00,4375.60547,4375.73985,4375.57155,4375.59491
2026-08-15 08:05:00,4375.60332,4375.79269,4375.53806,4375.68073
2026-08-15 08:10:00,4375.5959,4375.76938,4375.59112,4375.6675
2026-08-15 08:15:00,4375.59613,4375.79054,4375.5341,4375.57897
2026-08-15 08:20:00,4375.59973,4375.74432,4375.5582,4375.59583
2026-08-15 08:25:00,4375.59973,4375.79648,4375.53857,4375.68775
2026-08-15 08:30:00,4375.59973,4375.77577,4375.58186,4375.66682
2026-08-15 08:35:00,4375.59973,4375.79354,4375.53465,4375.57583
2026-08-15 08:40:00,4375.59973,4375.75327,4375.55193,4375.65934
2026-08-15 08:45:00,4375.59973,4375.79542,4375.53607,4375.69067
2026-08-15 08:50:00,4375.59973,4375.78161,4375.57324,4375.66175
2026-08-15 08:55:00,4375.59973,4375.79927,4375.54197,4375.57899
2026-08-15 09:00:00,4375.60513,4375.7685,4375.55441,4375.65935
2026-08-15 09:05:00,4375.60212,4375.80116,4375.5404,4375.70065
2026-08-15 09:10:00,4375.60774,4375.79391,4375.57174,4375.66354
2026-08-15 09:15:00,4375.60533,4375.80222,4375.54627,4375.57869
2026-08-15 09:20:00,4375.60703,4375.77417,4375.55,4375.6501
2026-08-15 09:25:00,4375.60165,4375.79025,4375.5341,4375.69513
2026-08-15 09:30:00,4375.59973,4375.79052,4375.55823,4375.66249
2026-08-15 09:35:00,4375.59973,4375.79649,4375.54239,4375.56916
2026-08-15 09:40:00,4375.59973,4375.77575,4375.53858,4375.6372
2026-08-15 09:45:00,4375.59581,4375.786,4375.53465,4375.69663
2026-08-15 09:50:00,4375.59973,4375.79353,4375.55195,4375.67035
2026-08-15 09:55:00,4375.60364,4375.79737,4375.54862,4375.56984
2026-08-15 10:00:00,4375.60165,4375.78147,4375.53803,4375.63698
2026-08-15 10:05:00,4375.59973,4375.78119,4375.53622,4375.69763
2026-08-15 10:10:00,4375.59973,4375.79553,4375.54656,4375.67477
2026-08-15 10:15:00,4375.59969,4375.7934,4375.55429,4375.56907
2026-08-15 10:20:00,4375.60126,4375.78642,4375.53649,4375.63806
2026-08-15 10:25:00,4375.60361,4375.78336,4375.54428,4375.70577
2026-08-15 10:30:00,4375.60777,4375.80415,4375.54819,4375.68547
2026-08-15 10:35:00,4375.60546,4375.79034,4375.56049,4375.56883
2026-08-15 10:40:00,4375.60126,4375.79051,4375.5341,4375.63074
2026-08-15 10:45:00,4375.59591,4375.76247,4375.53881,4375.69235
2026-08-15 10:50:00,4375.5936,4375.79072,4375.53457,4375.67896
2026-08-15 10:55:00,4375.59587,4375.78209,4375.56048,4375.56147
2026-08-15 11:00:00,4375.59437,4375.78985,4375.52895,4375.63653
2026-08-15 11:05:00,4375.59595,4375.76096,4375.5469,4375.69758
2026-08-15 11:10:00,4375.59973,4375.79543,4375.53608,4375.68872
2026-08-15 11:15:00,4375.59973,4375.78133,4375.56989,4375.56989
2026-08-15 11:20:00,4375.60127,4375.7955,4375.53813,4375.64559
2026-08-15 11:25:00,4375.59965,4375.75839,4375.5558,4375.70234
2026-08-15 11:30:00,4375.60585,4375.80112,4375.54041,4375.70005
2026-08-15 11:35:00,4375.60556,4375.78161,4375.57682,4375.57682
2026-08-15 11:40:00,4375.60702,4375.80222,4375.54625,4375.6566
2026-08-15 11:45:00,4375.60537,4375.74616,4375.56046,4375.69696
2026-08-15 11:50:00,4375.60165,4375.7961,4375.53793,4375.69318
2026-08-15 11:55:00,4375.59756,4375.76426,4375.56539,4375.56539
2026-08-15 12:00:00,4375.59435,4375.79262,4375.53273,4375.65333
2026-08-15 12:05:00,4375.59605,4375.72786,4375.56253,4375.68714
2026-08-15 12:10:00,4375.59363,4375.78787,4375.53088,4375.69657
2026-08-15 12:15:00,4375.59574,4375.76099,4375.57331,4375.57331
2026-08-15 12:20:00,4375.59973,4375.79544,4375.53609,4375.6621
2026-08-15 12:25:00,4375.59973,4375.72447,4375.57381,4375.69048
2026-08-15 12:30:00,4375.59973,4375.79552,4375.53616,4375.70637
2026-08-15 12:35:00,4375.59992,4375.75478,4375.57788,4375.57788
2026-08-15 12:40:00,4375.60165,4375.79342,4375.5365,4375.66897
